#Base pair	Mean Quality Score
1	31.165223353716843
2	31.673895685698195
3	35.76030764845159
4	35.995714343043524
5	36.199116714615656
6	39.68306771116582
7	39.697025778980766
8	39.9836729892907
9	40.08523849258901
10	40.102214648173444
11	40.141182852390465
12	40.15152710259423
13	40.09827618893423
14	40.083941863409734
15	40.10304894671366
16	40.09699741089307
17	40.011992920432355
18	40.04143636622786
19	40.05390005853513
20	40.051423040145686
21	40.01752829543772
22	40.073664174426376
23	40.01128053547879
24	40.05004227536972
25	40.0047627943535
26	39.996696847544364
27	39.935927975501045
28	39.96208805731184
29	39.9090441615016
30	39.945939419602766
31	39.85476521601953
32	39.91363633218616
33	39.89591098232461
34	39.93862349735623
35	39.95529217054617
36	39.9490351390659
37	39.93515221208813
38	39.90919070689123
39	39.91926677488054
40	39.90931428104887
41	39.88797027024409
42	39.8743230059656
43	39.85526726198137
44	39.85852225787837
45	39.77739450876851
46	39.8181521166053
47	39.82573718973269
48	39.82407675712627
49	39.819851711010834
50	39.813707321595864
51	39.81651257951713
52	39.80985313633426
53	39.729919614526125
54	39.76466844624524
55	39.77265440888516
56	39.76812533989813
57	39.71672610126992
58	39.73487240587676
59	39.72436223695518
60	39.716234018734006
61	39.70049346634507
62	39.69318031171685
63	39.64582317963365
64	39.66375471705946
65	39.65143480252351
66	39.640598193022
67	39.63294240724673
68	39.62060118204978
69	39.60462524372339
70	39.51648780933324
71	39.535137405330154
72	39.53285149098517
73	39.52144779649149
74	39.5036884049247
75	39.48208589856956
76	39.44418308902183
77	38.755282345501165
78	39.1372536646726
79	39.24594287912566
80	39.292440250580164
81	39.37703970010088
82	39.389499240980676
83	39.366762564641185
84	39.35099447445004
85	39.33361839801949
86	39.324938593468694
87	39.289052824146914
88	39.14553133428262
89	39.18357058741315
90	39.19223503168231
91	39.174118478972325
92	39.13448576959854
93	39.09749558218927
94	39.040673887382844
95	39.0190448118919
96	39.022159074397734
97	39.00256655084184
98	38.78278984228727
99	38.83545443600782
100	38.91186934627471
101	37.74822713289965
